session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,Nationality,Sex,Student Status
628843d660042d71ffb299dd,5e52d0122f5f952f2a7b6b28,RETURNED,2022-05-21 01:43:50.092000,,219554.448365,37,1492,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
628843f81f81069cacb00db4,5bbc0004ac45e6000131d380,APPROVED,2022-05-21 01:44:29.845000,2022-05-21 03:20:15.142000,5745.297,53,1184,1,100,2022-05-23 09:00:34.509000,81A407F4,United States,United States,Full-Time,I only know English,English,United States,Female,No
62884406eee056d59ad1da73,602c5fd808e6c3528a8ba43b,APPROVED,2022-05-21 01:44:38.054000,2022-05-21 02:31:46.432000,2828.378,21,849,1,100,2022-05-23 09:00:35.124000,81A407F4,United States,United States,DATA EXPIRED,I only know English,English,United States,Male,Yes
6288440805ea06cb892fd434,60859f820e5009a67adb3921,RETURNED,2022-05-21 01:44:55.441000,,219489.136104,54,1267,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6288440b59743e33548e08bf,599e08a45a2c6c0001322a7c,APPROVED,2022-05-21 01:45:01.681000,2022-05-21 01:59:48.558000,886.877,27,1419,4,100,2022-05-23 09:00:35.537000,81A407F4,United States,United States,DATA EXPIRED,I only know English,English,United States,Male,DATA EXPIRED
6288440c3d8c903f3212b806,5f4fd146ee39f70f490889c9,APPROVED,2022-05-21 01:44:44.467000,2022-05-21 02:00:05.290000,920.823,24,988,7,99,2022-05-23 09:00:35.958000,81A407F4,United States,United States,DATA EXPIRED,I only know English,English,United States,Male,No
62884410d38f8b2e9e783ded,59bd5ee0b7a3f000017d5c60,APPROVED,2022-05-21 01:50:25.618000,2022-05-21 02:09:09.335000,1123.717,38,423,0,100,2022-05-23 09:00:36.360000,81A407F4,United States,United States,Unemployed (and job seeking),I only know English,English,United States,Male,No
6288441688d75930be1d32f9,5ba6f4fb8e137f000161b9d7,APPROVED,2022-05-21 01:49:51.042000,2022-05-21 02:10:38.281000,1247.239,27,1714,1,100,2022-05-23 09:00:36.821000,81A407F4,United States,United States,Unemployed (and job seeking),I only know English,English,United States,Male,No
6288442491de27e3df324976,6109e6596c52fa1f853b16c2,APPROVED,2022-05-21 01:45:17.464000,2022-05-21 02:01:15.306000,957.842,32,1205,2,100,2022-05-23 09:00:37.188000,81A407F4,United States,United States,Full-Time,I only know English,English,United States,Female,No
62884433a955d17c220665d5,5490c822fdf99b71ba910e1a,RETURNED,2022-05-21 01:45:25.810000,,219458.851445,26,1444,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
