filename,vowel,f0_5ms_into_vowel,f0_10ms_into_vowel,word,VOT,target_f0,vowel_duration
dimtim_VOT120_F0251,0.11271975054107486,250.02307437156475,249.7464598951974,dimtim,120,F0251,112.71975054107486
dimtim_VOT125_F0251,0.11005462209946516,250.4261457061368,250.22575419461532,dimtim,125,F0251,110.05462209946516
dimtim_VOT130_F0251,0.10697613923158757,250.75856321448848,250.42167616612147,dimtim,130,F0251,106.97613923158757
dimtim_VOT135_F0251,0.1028391817943124,250.7792068463777,250.503439455252,dimtim,135,F0251,102.8391817943124
dimtim_VOT140_F0252,0.10288767302656154,251.13916350837076,250.87879836257596,dimtim,140,F0252,102.88767302656154
dimtim_VOT145_F0252,0.09522705689240853,251.35971970370073,251.07339848466523,dimtim,145,F0252,95.22705689240853
dimtim_VOT145_F0252,0.09837991996910134,251.34786416392944,251.07186240564585,dimtim,145,F0252,98.37991996910134
dimtim_VOT15_F0247,0.14374056958787065,246.39477973403595,246.57061392876057,dimtim,15,F0247,143.74056958787065
dimtim_VOT150_F0252,0.0953362307198624,251.07825722290377,250.89660918844305,dimtim,150,F0252,95.3362307198624
dimtim_VOT20_F0247,0.14238955828843824,246.87753877525333,247.04936765385497,dimtim,20,F0247,142.38955828843825
dimtim_VOT25_F0247,0.1442278751466355,247.2065812135428,247.1673232355752,dimtim,25,F0247,144.22787514663548
dimtim_VOT30_F0247,0.14126377483751495,246.9182322836102,246.99149823235453,dimtim,30,F0247,141.26377483751494
dimtim_VOT35_F0247,0.13619385766002343,247.3311422733115,247.40102275322272,dimtim,35,F0247,136.19385766002344
dimtim_VOT40_F0248,0.1311950912408344,247.3266267150762,247.37544235763687,dimtim,40,F0248,131.1950912408344
dimtim_VOT45_F0248,0.13447436752478836,247.90948890654957,248.0732223061584,dimtim,45,F0248,134.47436752478836
dimtim_VOT5_F0246,0.14526465032816627,246.23467582333123,246.36234064761885,dimtim,5,F0246,145.26465032816625
dimtim_VOT50_F0248,0.13633514998743743,248.1162908434114,248.14931480386215,dimtim,50,F0248,136.33514998743743
dimtim_VOT55_F0248,0.130369162142971,248.55300738406217,248.3660602024089,dimtim,55,F0248,130.369162142971
dimtim_VOT60_F0248,0.13043175558857012,248.5979023633993,248.4164279862333,dimtim,60,F0248,130.43175558857013
dimtim_VOT65_F0249,0.12671287846665358,249.12048245716576,248.86110674282816,dimtim,65,F0249,126.71287846665358
dimtim_VOT70_F0249,0.12678868372745988,248.64196962447392,248.63789281132404,dimtim,70,F0249,126.78868372745988
dimtim_VOT75_F0249,0.12838680458633256,249.51612304365983,249.3804670459405,dimtim,75,F0249,128.38680458633257
dimtim_VOT80_F0249,0.12209818477045609,249.56439252977648,249.3415814318558,dimtim,80,F0249,122.09818477045609
dimtim_VOT85_F0249,0.12259250685959876,250.0999845496778,249.714383086344,dimtim,85,F0249,122.59250685959876
dimtim_VOT90_F0250,0.12126271351895036,250.19160260568125,249.7359512411331,dimtim,90,F0250,121.26271351895036
dimtim_VOT95_F0250,0.12037091795709642,249.633357506599,249.47681608844823,dimtim,95,F0250,120.37091795709642
dintin_VOT-10_F0246,0.15510579073310382,244.9781002570192,244.71397433682677,dintin,-10,F0246,155.10579073310382
dintin_VOT-100_F0242,0.15171417554876232,241.35767367639315,241.1865620415683,dintin,-100,F0242,151.7141755487623
dintin_VOT-15_F0245,0.1534326669990298,242.84468403701777,243.39535139956948,dintin,-15,F0245,153.4326669990298
dintin_VOT-20_F0245,0.15510579073310393,244.42878989902397,244.4389061305017,dintin,-20,F0245,155.10579073310393
dintin_VOT-30_F0245,0.1551768092670347,244.3185766029212,243.89798073918777,dintin,-30,F0245,155.17680926703468
dintin_VOT-40_F0245,0.15530921254742092,244.3757906012122,243.93002986051832,dintin,-40,F0245,155.3092125474209
dintin_VOT-5_F0246,0.15010993686095245,245.40081874042033,245.14298588556107,dintin,-5,F0246,150.10993686095244
dintin_VOT-50_F0244,0.1555159501442298,243.3546671897762,242.9968142207453,dintin,-50,F0244,155.5159501442298
dintin_VOT-60_F0244,0.15547744432244848,243.27042630162745,242.94921710499293,dintin,-60,F0244,155.4774443224485
dintin_VOT-70_F0244,0.15547744432244848,242.2146271171825,242.43274683918224,dintin,-70,F0244,155.4774443224485
dintin_VOT-80_F0243,0.15572081861271236,242.5886064895882,242.18435726962468,dintin,-80,F0243,155.72081861271238
dintin_VOT-90_F0243,0.1511625094482234,242.29862346281905,241.9851356412822,dintin,-90,F0243,151.1625094482234
dintin_VOT0_F0246,0.1551057907331037,245.12537403269147,244.79073323658008,dintin,0,F0246,155.1057907331037
dintin_VOT10_F0247,0.1540394034522281,245.5700308898491,245.36645816256825,dintin,10,F0247,154.0394034522281
dintin_VOT100_F0250,0.12775482233502444,249.45266076730417,248.88088195629192,dintin,100,F0250,127.75482233502444
